id,study_group,new_group,sex,age,race,educ,ethnic,Video,Position,Rating,ReactionTime,SelectionTime,Video_sex,Video_race,conte_mean_all,conte_mean_short
256e516d,4,2,1,34,2,20,2,Video_1019,34,210,3605,27996,0,2,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1021,48,0,33466,47827,1,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1023,10,150,4301,21664,0,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1026,18,90,5422,20831,0,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1029,11,300,4113,26830,1,0,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1031,45,60,2702,10832,0,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1032,50,90,4593,18498,0,0,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1033,6,210,4233,24163,0,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1038,27,210,7551,30996,0,0,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1043,41,240,3228,25830,1,1,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1045,26,90,6941,20497,0,0,2.75,2.833333333
256e516d,4,2,1,34,2,20,2,Video_1046,49,90,4392,19331,1,1,2.75,2.833333333
